data,sistema,volume_porcentagem,volume_variacao,volume_operacional,pluviometria_dia,pluviometria_mensal,pluviometria_hist
2022-05-24,Cantareira,42,2,0,1,414,31772
2022-05-24,Alto Tietê,62,8,0,2,351,98456
2022-05-24,Guarapiranga,80,9,0,3,138,51027
2022-05-24,Cotia,85,7,0,2,14,13465
2022-05-24,Rio Grande,99,7,0,2,111,80112
2022-05-24,Rio Claro,43,8,0,1,5,98281
2022-05-24,São Lourenço,93,3,0,3,82,91305
2022-05-23,Cantareira,42,3,0,1,415,55342
2022-05-23,Alto Tietê,63,0,0,1,352,71690
2022-05-23,Guarapiranga,81,2,0,3,139,2976
2022-05-23,Cotia,85,9,0,4,14,16886
2022-05-23,Rio Grande,99,9,0,3,112,6787
2022-05-23,Rio Claro,43,9,0,1,5,99354
2022-05-23,São Lourenço,93,6,0,2,83,13232
2022-05-22,Cantareira,42,4,0,1,416,59079
2022-05-22,Alto Tietê,63,1,0,1,353,50903
2022-05-22,Guarapiranga,81,5,0,5,139,54960
2022-05-22,Cotia,86,3,0,2,14,23741
2022-05-22,Rio Grande,100,2,0,0,112,37321
2022-05-22,Rio Claro,44,0,0,2,6,1502
2022-05-22,São Lourenço,93,8,0,3,83,35188
2022-05-21,Cantareira,42,5,0,1,417,41588
2022-05-21,Alto Tietê,63,2,0,1,354,20129
2022-05-21,Guarapiranga,82,0,0,3,140,33001
2022-05-21,Cotia,86,5,0,2,14,27176
2022-05-21,Rio Grande,100,2,0,1,112,37321
2022-05-21,Rio Claro,44,2,0,2,6,4736
2022-05-21,São Lourenço,94,1,0,2,83,57172
2022-05-20,Cantareira,42,6,0,2,418,63031
2022-05-20,Alto Tietê,63,3,0,1,354,74092
2022-05-20,Guarapiranga,82,3,0,3,140,85071
2022-05-20,Cotia,86,7,0,2,14,30615
2022-05-20,Rio Grande,100,3,0,2,112,56430
2022-05-20,Rio Claro,44,4,0,2,6,6899
2022-05-20,São Lourenço,94,3,0,3,83,79185
2022-05-19,Cantareira,42,8,0,1,419,93235
2022-05-19,Alto Tietê,63,4,0,1,355,33148
2022-05-19,Guarapiranga,82,6,0,4,141,37175
2022-05-19,Cotia,86,9,0,4,14,34060
2022-05-19,Rio Grande,100,5,0,2,112,75560
2022-05-19,Rio Claro,44,6,0,1,6,9068
2022-05-19,São Lourenço,94,6,0,4,84,1226
2022-05-18,Cantareira,42,9,0,1,420,88731
2022-05-18,Alto Tietê,63,5,0,1,355,92406
2022-05-18,Guarapiranga,83,0,0,5,142,15392
2022-05-18,Cotia,87,3,0,5,14,40963
2022-05-18,Rio Grande,100,7,0,3,112,94709
2022-05-18,Rio Claro,44,7,0,3,6,11243
2022-05-18,São Lourenço,95,0,0,0,84,34342
2022-05-17,Cantareira,43,0,0,1,422,24448
2022-05-17,Alto Tietê,63,6,0,1,356,56135
2022-05-17,Guarapiranga,83,5,0,5,142,93681
2022-05-17,Cotia,87,8,0,4,14,47886
2022-05-17,Rio Grande,101,0,0,2,113,33068
2022-05-17,Rio Claro,45,0,0,2,6,14515
2022-05-17,São Lourenço,95,0,0,1,84,34342
2022-05-16,Cantareira,43,1,0,0,423,19447
2022-05-16,Alto Tietê,63,7,0,1,357,1569
2022-05-16,Guarapiranga,84,0,0,3,143,72042
2022-05-16,Cotia,88,2,0,4,14,54829
2022-05-16,Rio Grande,101,2,0,2,113,52278
2022-05-16,Rio Claro,45,2,0,9,6,17801
2022-05-16,São Lourenço,95,1,0,2,84,45395
2022-05-15,Cantareira,43,1,0,1,423,31965
2022-05-15,Alto Tietê,63,8,0,0,357,21010
2022-05-15,Guarapiranga,84,3,0,3,144,24321
2022-05-15,Cotia,88,6,0,0,14,61791
2022-05-15,Rio Grande,101,4,0,1,113,71507
2022-05-15,Rio Claro,46,1,0,8,6,29959
2022-05-15,São Lourenço,95,3,0,0,84,67522
2022-05-14,Cantareira,43,2,0,1,424,7915
2022-05-14,Alto Tietê,63,8,0,1,357,62788
2022-05-14,Guarapiranga,84,6,0,1,144,76631
2022-05-14,Cotia,88,6,0,2,14,61791
2022-05-14,Rio Grande,101,5,0,2,113,90757
2022-05-14,Rio Claro,46,9,0,2,6,41165
2022-05-14,São Lourenço,95,3,0,0,84,67522
2022-05-13,Cantareira,43,3,0,0,424,84262
2022-05-13,Alto Tietê,63,9,0,1,357,96851
2022-05-13,Guarapiranga,84,7,0,3,145,2797
2022-05-13,Cotia,88,8,0,2,14,65279
2022-05-13,Rio Grande,101,7,0,0,114,10027
2022-05-13,Rio Claro,47,1,0,1,6,43423
2022-05-13,São Lourenço,95,3,0,1,84,67522
2022-05-12,Cantareira,43,3,0,1,425,53813
2022-05-12,Alto Tietê,64,0,0,0,358,49137
2022-05-12,Guarapiranga,85,0,0,3,145,55150
2022-05-12,Cotia,89,0,0,2,14,68772
2022-05-12,Rio Grande,101,7,0,2,114,10027
2022-05-12,Rio Claro,47,2,0,0,6,44555
2022-05-12,São Lourenço,95,2,0,1,84,56455
2022-05-11,Cantareira,43,4,0,1,426,5081
2022-05-11,Alto Tietê,64,0,0,0,358,63679
2022-05-11,Guarapiranga,85,3,0,3,146,7533
2022-05-11,Cotia,89,2,0,3,14,72270
2022-05-11,Rio Grande,101,9,0,2,114,29317
2022-05-11,Rio Claro,47,2,0,2,6,44555
2022-05-11,São Lourenço,95,1,0,0,84,45395
2022-05-10,Cantareira,43,5,0,1,427,35770
2022-05-10,Alto Tietê,64,0,0,1,358,82171
2022-05-10,Guarapiranga,85,6,0,3,146,59945
2022-05-10,Cotia,89,5,0,0,14,75773
2022-05-10,Rio Grande,102,1,0,1,114,48627
2022-05-10,Rio Claro,47,4,0,2,6,47959
2022-05-10,São Lourenço,95,1,0,1,84,45395
2022-05-09,Cantareira,43,6,0,1,428,48438
2022-05-09,Alto Tietê,64,1,0,0,359,8553
2022-05-09,Guarapiranga,85,9,0,3,147,12384
2022-05-09,Cotia,89,5,0,2,14,75773
2022-05-09,Rio Grande,102,2,0,2,114,67957
2022-05-09,Rio Claro,47,6,0,1,6,50235
2022-05-09,São Lourenço,95,2,0,0,84,56455
2022-05-08,Cantareira,43,7,0,1,429,34982
2022-05-08,Alto Tietê,64,1,0,0,359,14567
2022-05-08,Guarapiranga,86,2,0,4,147,64851
2022-05-08,Cotia,89,7,0,2,14,79281
2022-05-08,Rio Grande,102,4,0,3,114,87307
2022-05-08,Rio Claro,47,7,0,1,6,51376
2022-05-08,São Lourenço,95,2,0,1,84,56455
2022-05-07,Cantareira,43,8,0,0,429,97016
2022-05-07,Alto Tietê,64,1,0,0,359,37822
2022-05-07,Guarapiranga,86,6,0,1,148,17345
2022-05-07,Cotia,89,9,0,2,14,82793
2022-05-07,Rio Grande,102,7,0,2,115,26069
2022-05-07,Rio Claro,47,8,0,7,6,53661
2022-05-07,São Lourenço,95,3,0,0,84,67522
2022-05-06,Cantareira,43,8,0,0,430,31843
2022-05-06,Alto Tietê,64,1,0,0,359,30455
2022-05-06,Guarapiranga,86,7,0,3,148,43602
2022-05-06,Cotia,90,1,0,2,14,86311
2022-05-06,Rio Grande,102,9,0,4,115,45480
2022-05-06,Rio Claro,47,1,0,2,6,43423
2022-05-06,São Lourenço,95,3,0,1,84,67522
2022-05-05,Cantareira,43,8,0,0,430,20406
2022-05-05,Alto Tietê,64,1,0,1,359,32656
2022-05-05,Guarapiranga,87,0,0,3,148,96136
2022-05-05,Cotia,90,3,0,2,14,89834
2022-05-05,Rio Grande,103,3,0,3,115,84362
2022-05-05,Rio Claro,46,9,0,1,6,41165
2022-05-05,São Lourenço,95,2,0,1,84,56455
2022-05-04,Cantareira,43,8,0,0,429,81401
2022-05-04,Alto Tietê,64,0,0,1,358,70283
2022-05-04,Guarapiranga,87,3,0,3,149,48695
2022-05-04,Cotia,90,5,0,5,14,93361
2022-05-04,Rio Grande,103,6,0,7,116,23326
2022-05-04,Rio Claro,47,0,0,1,6,42293
2022-05-04,São Lourenço,95,1,0,0,84,45395
2022-05-03,Cantareira,43,8,0,1,430,47391
2022-05-03,Alto Tietê,63,9,0,4,357,96253
2022-05-03,Guarapiranga,87,6,0,1,150,1279
2022-05-03,Cotia,91,0,0,2,15,430
2022-05-03,Rio Grande,104,3,0,7,117,1496
2022-05-03,Rio Claro,47,1,0,4,6,43423
2022-05-03,São Lourenço,95,1,0,3,84,45395
2022-05-02,Cantareira,43,9,0,1,431,25029
2022-05-02,Alto Tietê,63,5,0,4,356,6992
2022-05-02,Guarapiranga,87,5,0,0,149,74984
2022-05-02,Cotia,91,2,0,0,15,3972
2022-05-02,Rio Grande,105,0,0,2,117,79992
2022-05-02,Rio Claro,47,5,-1,7,6,49096
2022-05-02,São Lourenço,94,8,0,7,84,23296
2022-05-01,Cantareira,44,0,0,0,431,72437
2022-05-01,Alto Tietê,63,1,1,4,353,48543
2022-05-01,Guarapiranga,87,5,0,1,149,74984
2022-05-01,Cotia,91,2,0,2,15,3972
2022-05-01,Rio Grande,105,2,2,3,117,99667
2022-05-01,Rio Claro,49,2,-1,5,6,72158
2022-05-01,São Lourenço,94,1,0,6,83,57172
2022-04-30,Cantareira,44,0,0,1,432,39622
2022-04-30,Alto Tietê,61,7,1,0,345,81920
2022-04-30,Guarapiranga,87,6,0,2,150,1279
2022-04-30,Cotia,91,4,0,2,15,7519
2022-04-30,Rio Grande,102,9,2,2,115,45480
2022-04-30,Rio Claro,50,7,4,6,6,92234
2022-04-30,São Lourenço,93,5,0,2,83,2265
2022-04-29,Cantareira,44,1,0,0,432,67653
2022-04-29,Alto Tietê,60,7,0,1,340,8010
2022-04-29,Guarapiranga,87,8,0,3,150,27581
2022-04-29,Cotia,91,2,0,2,15,3972
2022-04-29,Rio Grande,100,7,0,2,112,94709
2022-04-29,Rio Claro,46,1,0,2,6,29959
2022-04-29,São Lourenço,93,3,0,2,82,91305
2022-04-28,Cantareira,44,1,0,1,433,53957
2022-04-28,Alto Tietê,60,8,0,2,340,94162
2022-04-28,Guarapiranga,88,1,0,3,150,80202
2022-04-28,Cotia,91,4,0,0,15,7519
2022-04-28,Rio Grande,100,9,0,1,113,13879
2022-04-28,Rio Claro,46,3,0,1,6,32188
2022-04-28,São Lourenço,93,5,0,1,83,2265
2022-04-27,Cantareira,44,2,0,1,434,27020
2022-04-27,Alto Tietê,61,0,0,1,341,73776
2022-04-27,Guarapiranga,88,4,0,3,151,32847
2022-04-27,Cotia,91,4,0,2,15,7519
2022-04-27,Rio Grande,101,0,0,2,113,33068
2022-04-27,Rio Claro,46,4,0,2,6,34424
2022-04-27,São Lourenço,93,6,0,0,83,13232
2022-04-26,Cantareira,44,3,0,1,434,90781
2022-04-26,Alto Tietê,61,1,0,1,342,51093
2022-04-26,Guarapiranga,88,7,0,5,151,85515
2022-04-26,Cotia,91,6,0,4,15,11071
2022-04-26,Rio Grande,101,2,0,2,113,52278
2022-04-26,Rio Claro,46,6,0,2,6,36665
2022-04-26,São Lourenço,93,6,0,4,83,13232
2022-04-25,Cantareira,44,4,0,0,435,62452
2022-04-25,Alto Tietê,61,2,0,1,342,99116
2022-04-25,Guarapiranga,89,2,0,3,152,64561
2022-04-25,Cotia,92,0,0,2,15,18190
2022-04-25,Rio Grande,101,4,0,0,113,71507
2022-04-25,Rio Claro,46,8,0,1,6,40038
2022-04-25,São Lourenço,94,0,0,0,83,46177
2022-04-24,Cantareira,44,4,0,1,436,31740
2022-04-24,Alto Tietê,61,3,0,1,343,49158
2022-04-24,Guarapiranga,89,5,0,3,153,17285
2022-04-24,Cotia,92,2,0,5,15,21757
2022-04-24,Rio Grande,101,4,0,1,113,71507
2022-04-24,Rio Claro,46,9,0,2,6,41165
2022-04-24,São Lourenço,94,0,0,0,83,46177
2022-04-23,Cantareira,44,5,0,1,437,1864
2022-04-23,Alto Tietê,61,4,0,1,343,85120
2022-04-23,Guarapiranga,89,8,0,3,153,70031
2022-04-23,Cotia,92,7,0,4,15,28905
2022-04-23,Rio Grande,101,5,0,4,113,90757
2022-04-23,Rio Claro,47,1,0,1,6,43423
2022-04-23,São Lourenço,94,0,0,0,83,46177
2022-04-22,Cantareira,44,6,0,0,437,55372
2022-04-22,Alto Tietê,61,5,0,0,344,38676
2022-04-22,Guarapiranga,90,1,0,3,154,22798
2022-04-22,Cotia,93,1,0,2,15,36072
2022-04-22,Rio Grande,101,9,0,2,114,29317
2022-04-22,Rio Claro,47,2,0,1,6,44555
2022-04-22,São Lourenço,94,0,0,0,83,46177
2022-04-21,Cantareira,44,6,0,1,438,18877
2022-04-21,Alto Tietê,61,5,0,0,344,60132
2022-04-21,Guarapiranga,90,4,0,2,154,75585
2022-04-21,Cotia,93,3,0,5,15,39664
2022-04-21,Rio Grande,102,1,0,1,114,48627
2022-04-21,Rio Claro,47,3,0,2,6,46823
2022-04-21,São Lourenço,94,0,0,2,83,46177
2022-04-20,Cantareira,44,7,0,1,438,76818
2022-04-20,Alto Tietê,61,5,0,0,344,81664
2022-04-20,Guarapiranga,90,6,0,1,155,1987
2022-04-20,Cotia,93,8,0,2,15,46861
2022-04-20,Rio Grande,102,2,0,2,114,67957
2022-04-20,Rio Claro,47,5,0,7,6,49096
2022-04-20,São Lourenço,93,8,0,3,83,35188
2022-04-19,Cantareira,44,8,0,0,439,48833
2022-04-19,Alto Tietê,61,5,0,0,344,77640
2022-04-19,Guarapiranga,90,7,0,2,155,28393
2022-04-19,Cotia,94,0,0,2,15,50467
2022-04-19,Rio Grande,102,4,0,2,114,87307
2022-04-19,Rio Claro,48,2,-1,9,6,59400
2022-04-19,São Lourenço,93,5,0,4,83,2265
2022-04-18,Cantareira,44,8,0,1,439,89287
2022-04-18,Alto Tietê,61,5,0,0,344,69357
2022-04-18,Guarapiranga,90,9,0,1,155,54804
2022-04-18,Cotia,94,2,0,2,15,54078
2022-04-18,Rio Grande,102,6,0,3,115,6678
2022-04-18,Rio Claro,50,1,-1,9,6,85098
2022-04-18,São Lourenço,93,1,0,4,82,69406
2022-04-17,Cantareira,44,9,0,1,440,68833
2022-04-17,Alto Tietê,61,5,0,0,344,71570
2022-04-17,Guarapiranga,91,0,0,2,155,81219
2022-04-17,Cotia,94,4,0,0,15,57694
2022-04-17,Rio Grande,102,9,0,3,115,45480
2022-04-17,Rio Claro,52,0,-1,7,7,10556
2022-04-17,São Lourenço,93,5,0,5,83,2265
2022-04-16,Cantareira,45,0,0,0,441,50853
2022-04-16,Alto Tietê,61,5,0,2,344,35026
2022-04-16,Guarapiranga,91,2,0,1,156,7640
2022-04-16,Cotia,94,4,0,0,15,57694
2022-04-16,Rio Grande,102,6,0,5,115,6678
2022-04-16,Rio Claro,53,7,-1,6,7,34210
2022-04-16,São Lourenço,94,0,0,8,83,46177
2022-04-15,Cantareira,45,0,0,1,442,29059
2022-04-15,Alto Tietê,61,3,0,1,343,20000
2022-04-15,Guarapiranga,91,3,0,2,156,34065
2022-04-15,Cotia,94,4,0,0,15,57694
2022-04-15,Rio Grande,102,1,0,4,114,48627
2022-04-15,Rio Claro,55,3,6,8,7,55126
2022-04-15,São Lourenço,94,8,1,1,84,23296
2022-04-14,Cantareira,45,1,0,1,443,37338
2022-04-14,Alto Tietê,61,2,0,0,342,84455
2022-04-14,Guarapiranga,91,5,0,1,156,60494
2022-04-14,Cotia,94,4,0,2,15,57694
2022-04-14,Rio Grande,101,7,0,2,114,10027
2022-04-14,Rio Claro,48,5,0,6,6,62862
2022-04-14,São Lourenço,93,7,0,1,83,24207
2022-04-13,Cantareira,45,2,0,0,443,71555
2022-04-13,Alto Tietê,61,2,0,0,343,3925
2022-04-13,Guarapiranga,91,6,0,2,156,86929
2022-04-13,Cotia,94,6,0,0,15,61315
2022-04-13,Rio Grande,101,9,0,0,114,29317
2022-04-13,Rio Claro,49,1,0,1,6,70991
2022-04-13,São Lourenço,93,6,-2,1,83,13232
2022-04-12,Cantareira,45,2,0,1,444,17243
2022-04-12,Alto Tietê,61,2,0,0,342,90806
2022-04-12,Guarapiranga,91,8,0,3,157,13367
2022-04-12,Cotia,94,6,0,3,15,61315
2022-04-12,Rio Grande,101,9,0,2,114,29317
2022-04-12,Rio Claro,49,2,0,2,6,72158
2022-04-12,São Lourenço,95,7,0,5,85,767
2022-04-11,Cantareira,45,3,0,1,444,87532
2022-04-11,Alto Tietê,61,2,0,1,343,2333
2022-04-11,Guarapiranga,92,1,0,2,157,66257
2022-04-11,Cotia,94,9,0,2,15,64941
2022-04-11,Rio Grande,102,1,0,1,114,48627
2022-04-11,Rio Claro,49,4,0,1,6,74498
2022-04-11,São Lourenço,96,2,-1,4,85,45194
2022-04-10,Cantareira,45,4,0,1,445,37900
2022-04-10,Alto Tietê,61,1,0,0,342,60418
2022-04-10,Guarapiranga,92,3,0,1,157,92709
2022-04-10,Cotia,95,1,0,2,15,68572
2022-04-10,Rio Grande,102,2,0,4,114,67957
2022-04-10,Rio Claro,49,5,0,0,6,76843
2022-04-10,São Lourenço,97,6,0,6,86,67969
2022-04-09,Cantareira,45,3,0,0,445,34148
2022-04-09,Alto Tietê,61,1,0,2,342,40420
2022-04-09,Guarapiranga,92,4,0,2,158,19165
2022-04-09,Cotia,95,3,0,0,15,72208
2022-04-09,Rio Grande,102,6,0,3,115,6678
2022-04-09,Rio Claro,49,5,0,3,6,76843
2022-04-09,São Lourenço,98,2,0,4,87,24068
2022-04-08,Cantareira,45,3,0,0,444,68795
2022-04-08,Alto Tietê,60,9,0,1,341,21259
2022-04-08,Guarapiranga,92,6,0,1,158,45624
2022-04-08,Cotia,95,3,0,0,15,72208
2022-04-08,Rio Grande,102,9,0,2,115,45480
2022-04-08,Rio Claro,49,8,-1,1,6,80372
2022-04-08,São Lourenço,98,6,0,4,87,57816
2022-04-07,Cantareira,45,3,0,0,445,9058
2022-04-07,Alto Tietê,60,8,0,0,340,93646
2022-04-07,Guarapiranga,92,7,0,2,158,72088
2022-04-07,Cotia,95,3,0,2,15,72208
2022-04-07,Rio Grande,103,1,0,3,115,64911
2022-04-07,Rio Claro,50,9,-2,7,6,95822
2022-04-07,São Lourenço,99,0,0,0,87,91630
2022-04-06,Cantareira,45,3,0,0,444,69533
2022-04-06,Alto Tietê,60,8,0,1,340,41561
2022-04-06,Guarapiranga,92,9,0,3,158,98556
2022-04-06,Cotia,95,1,0,0,15,68572
2022-04-06,Rio Grande,103,4,0,4,116,3834
2022-04-06,Rio Claro,53,6,0,6,7,32466
2022-04-06,São Lourenço,99,0,0,1,87,91630
2022-04-05,Cantareira,45,3,0,0,444,55726
2022-04-05,Alto Tietê,60,7,0,2,339,89396
2022-04-05,Guarapiranga,92,6,0,3,158,45624
2022-04-05,Cotia,95,1,0,0,15,68572
2022-04-05,Rio Grande,103,8,0,3,116,42838
2022-04-05,Rio Claro,54,2,0,1,7,41218
2022-04-05,São Lourenço,98,9,0,1,87,80351
